,Bedroom,Bathroom,Den,Address,Lat,Long,Price
0,2,2.0,0,L5B,43.581639100000004,-79.648193,2450.0
1,1,1.0,1,M5V,43.6430505,-79.3916429,2150.0
2,1,1.0,0,M5B,43.6606054,-79.37863540000001,1950.0
3,2,2.0,0,M5J,43.6410868,-79.3814048,2900.0
4,1,1.0,0,M5T,43.6524873,-79.3896218,1800.0
5,1,1.0,0,M6K,43.6348903,-79.4346541,1729.0
6,2,1.0,0,L7S,43.328985499999995,-79.80861829999999,1685.0
7,1,1.0,0,M5V,43.6409179,-79.3939821,1900.0
8,1,1.0,0,M5V,43.6413078,-79.4000933,1900.0
9,1,1.0,1,M5V,43.6400685,-79.39996040000001,2400.0
10,1,1.0,0,M4X,43.6684679,-79.37483359999999,1750.0
11,2,1.0,0,M4X,43.6684679,-79.37483359999999,2000.0
12,1,1.0,0,M4Y,43.66472329999999,-79.38408359999998,2200.0
13,1,1.0,1,M5J,43.6408157,-79.38175229999999,2350.0
14,1,1.0,0,M5V,43.647627299999996,-79.39040809999999,2650.0
15,1,1.0,0,M5A,43.6567414,-79.3699948,1799.0
16,1,1.0,0,M5A,43.6567414,-79.3699948,1899.0
17,1,1.0,0,M5B,43.6606054,-79.37863540000001,1950.0
18,2,2.0,0,L5B,43.581639100000004,-79.648193,2450.0
19,2,2.0,0,M5V,43.6394055,-79.3932324,3150.0
20,2,2.0,0,M5E,43.64310510000001,-79.375906,3200.0
21,1,1.0,0,M5V,43.648005299999994,-79.3968338,2500.0
22,1,1.0,1,M5J,43.6418726,-79.3819064,2400.0
23,1,1.0,0,L4L,43.78318970000001,-79.5985666,1750.0
24,2,2.0,0,M5J,43.6423144,-79.3812291,3100.0
25,2,2.0,0,M8Y,43.6232891,-79.48369509999999,2999.0
26,1,1.0,0,M3H,43.7598859,-79.44313840000001,1250.0
27,1,1.0,0,M4K,43.6893623,-79.35284809999999,1825.0
28,1,1.0,1,L6X,43.6852857,-79.7614922,1900.0
29,2,1.0,0,M4K,43.6893623,-79.35284809999999,2245.0
30,1,1.0,0,M5J,43.6410868,-79.3814048,2200.0
31,1,1.0,0,M5T,43.6524873,-79.3896218,1800.0
32,1,1.0,0,M5J,43.6410868,-79.3814048,2200.0
33,2,2.0,0,M5J,43.6410868,-79.3814048,2900.0
34,1,1.0,0,M5V,43.6489727,-79.3872946,2299.0
35,1,1.0,0,M5B,43.6606054,-79.37863540000001,1950.0
36,1,1.0,0,M5B,43.6606054,-79.37863540000001,1950.0
37,2,2.0,0,M5J,43.6410868,-79.3814048,2900.0
38,1,1.0,0,M4Y,43.670878,-79.3766958,1950.0
39,1,1.0,1,M5S,43.661927,-79.3865112,2250.0
40,2,1.5,0,L7S,43.3316744,-79.81535440000002,2000.0
41,2,2.0,0,M5H,43.6505597,-79.38207220000001,2800.0
42,1,1.0,0,M5H,43.6505597,-79.38207220000001,1900.0
43,1,1.0,0,M5H,43.6505597,-79.38207220000001,1900.0
44,1,1.0,0,L5G,43.558352500000005,-79.5788687,1727.0
45,2,1.0,0,M6K,43.6371527,-79.4270923,2230.0
46,1,1.0,0,M4X,43.664055700000006,-79.3737903,1785.0
47,1,1.0,0,M4X,43.664055700000006,-79.3737903,1535.0
48,2,2.0,0,M5J,43.6410868,-79.3814048,2900.0
49,1,1.0,0,M5T,43.6524873,-79.3896218,1800.0
50,2,2.0,0,M5E,43.64310510000001,-79.375906,3200.0
51,2,2.0,0,M5V,43.647870000000005,-79.391138,2350.0
52,1,1.0,0,M6K,43.6371527,-79.4270923,1475.0
53,1,1.0,0,M4Y,43.664580799999996,-79.38229559999999,1815.0
54,1,1.0,0,M6K,43.6371527,-79.4270923,1755.0
55,1,1.0,0,M5A,43.6450775,-79.3643417,2450.0
56,1,1.0,0,M5A,43.65221029999999,-79.3707988,2200.0
57,2,1.0,0,L1N,43.8792747,-78.9346733,1350.0
58,1,1.0,1,M5H,43.64738010000001,-79.3872741,2400.0
59,1,1.0,1,M5V,43.6394055,-79.3932324,2424.0
60,1,1.0,0,M4X,43.6701586,-79.3756379,1700.0
61,1,1.0,0,M4X,43.6684679,-79.37483359999999,1400.0
62,1,1.0,0,M4X,43.6684679,-79.37483359999999,1700.0
63,1,1.0,0,L6X,43.6887398,-79.7642676,1500.0
64,2,2.0,0,L5B,43.581639100000004,-79.648193,2450.0
65,1,1.0,0,M5V,43.6489727,-79.3872946,2299.0
66,2,2.0,0,M5E,43.64310510000001,-79.375906,3200.0
67,1,1.0,0,M5V,43.6489001,-79.392205,2550.0
68,2,2.0,0,M5V,43.6394055,-79.3932324,3150.0
69,2,1.0,0,L6X,43.6887398,-79.7642676,1775.0
70,1,1.0,0,,43.850619099999996,-79.3193975,1750.0
71,1,1.0,0,M5J,43.6418064,-79.3789807,1830.0
72,1,1.0,0,M4Y,43.6655881,-79.383028,2000.0
73,2,1.0,0,M6M,43.6911466,-79.4714355,1850.0
