,Bedroom,Bathroom,Den,Lat,Long,Price,Postal Code,Borough,Downtown Proximity,Borough Color
0,1,1.0,1,43.6430505,-79.3916429,2150.0,M5V,Downtown Toronto,0.10692090314989566,1
1,1,1.0,0,43.6409179,-79.3939821,1900.0,M5V,Downtown Toronto,0.13412750321682917,1
2,1,1.0,0,43.6413078,-79.4000933,1900.0,M5V,Downtown Toronto,0.16932984908143844,1
3,1,1.0,1,43.6400685,-79.39996040000003,2400.0,M5V,Downtown Toronto,0.17544290924269376,1
4,1,1.0,0,43.6476273,-79.39040809999999,2650.0,M5V,Downtown Toronto,0.0687141759505223,1
5,2,2.0,0,43.6394055,-79.3932324,3150.0,M5V,Downtown Toronto,0.14143144109054817,1
6,1,1.0,0,43.6480053,-79.3968338,2500.0,M5V,Downtown Toronto,0.11350822874090555,1
7,1,1.0,0,43.6489727,-79.3872946,2299.0,M5V,Downtown Toronto,0.04242862449108016,1
8,2,2.0,0,43.64787000000001,-79.391138,2350.0,M5V,Downtown Toronto,0.07189333224228309,1
9,1,1.0,1,43.6394055,-79.3932324,2424.0,M5V,Downtown Toronto,0.14143144109054817,1
10,1,1.0,0,43.6489727,-79.3872946,2299.0,M5V,Downtown Toronto,0.04242862449108016,1
11,1,1.0,0,43.6489001,-79.392205,2550.0,M5V,Downtown Toronto,0.07396998848521168,1
12,2,2.0,0,43.6394055,-79.3932324,3150.0,M5V,Downtown Toronto,0.14143144109054817,1
13,1,2.0,1,43.6402232,-79.395951,2500.0,M5V,Downtown Toronto,0.14970508735186822,1
14,2,2.0,0,43.64320770000001,-79.39211,3200.0,M5V,Downtown Toronto,0.10815345017278057,1
15,2,2.0,0,43.64787000000001,-79.391138,2350.0,M5V,Downtown Toronto,0.07189333224228309,1
16,1,1.0,1,43.6430505,-79.3916429,2150.0,M5V,Downtown Toronto,0.10692090314989566,1
17,1,1.0,0,43.6489727,-79.3872946,2299.0,M5V,Downtown Toronto,0.04242862449108016,1
18,1,1.0,0,43.6469441,-79.3923973,2100.0,M5V,Downtown Toronto,0.0855901881622868,1
19,1,1.0,0,43.6489727,-79.3872946,2299.0,M5V,Downtown Toronto,0.04242862449108016,1
20,2,2.0,0,43.6394055,-79.3932324,3150.0,M5V,Downtown Toronto,0.14143144109054817,1
21,1,1.0,1,43.6430505,-79.3916429,2150.0,M5V,Downtown Toronto,0.10692090314989566,1
22,1,1.0,0,43.640402,-79.39714670000002,2100.0,M5V,Downtown Toronto,0.15557449120895708,1
23,1,1.0,0,43.64787000000001,-79.391138,1850.0,M5V,Downtown Toronto,0.07189333224228309,1
