,Postal Code,Latitude,Longitude,Borough,Neighborhood,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,M4E,43.67635739999999,-79.2930312,East Toronto,The Beaches,0,Pub,Coffee Shop,Pizza Place,Breakfast Spot,Beach,Japanese Restaurant,Bar,Sandwich Place,Salon / Barbershop,Burger Joint
1,M4K,43.6795571,-79.352188,East Toronto,"The Danforth West,Riverdale",0,Greek Restaurant,Coffee Shop,Café,Pub,Ice Cream Shop,Fast Food Restaurant,Pizza Place,Yoga Studio,Discount Store,Sandwich Place
2,M4L,43.6689985,-79.31557159999998,East Toronto,"The Beaches West,India Bazaar",0,Indian Restaurant,Coffee Shop,Café,Beach,Light Rail Station,Fast Food Restaurant,Restaurant,Bakery,Burrito Place,Sandwich Place
3,M4M,43.6595255,-79.340923,East Toronto,Studio District,1,Coffee Shop,Bar,Café,American Restaurant,Bakery,Vietnamese Restaurant,Italian Restaurant,Diner,Sandwich Place,Brewery
4,M4N,43.7280205,-79.3887901,Central Toronto,Lawrence Park,2,College Quad,Gym / Fitness Center,College Gym,Coffee Shop,Park,Café,Trail,Bookstore,Gym Pool,Gym
5,M4P,43.7127511,-79.3901975,Central Toronto,Davisville North,0,Coffee Shop,Fast Food Restaurant,Italian Restaurant,Café,Gym,Restaurant,Sushi Restaurant,Pizza Place,Dessert Shop,Yoga Studio
6,M4R,43.7153834,-79.40567840000001,Central Toronto,North Toronto West,1,Italian Restaurant,Coffee Shop,Sporting Goods Shop,Mexican Restaurant,Restaurant,Diner,Café,Skating Rink,Sushi Restaurant,Baseball Field
7,M4S,43.7043244,-79.3887901,Central Toronto,Davisville,0,Coffee Shop,Italian Restaurant,Sushi Restaurant,Café,Pizza Place,Gym,Indian Restaurant,Fast Food Restaurant,Restaurant,Dessert Shop
8,M4T,43.6895743,-79.38315990000001,Central Toronto,"Moore Park,Summerhill East",0,Coffee Shop,Italian Restaurant,Park,Grocery Store,Bagel Shop,Café,Sandwich Place,Pub,Gym,Pizza Place
9,M4V,43.68641229999999,-79.4000493,Central Toronto,"Deer Park,Forest Hill SE,Rathnelly,South Hill,Summerhill West",0,Coffee Shop,Park,Sushi Restaurant,Gym / Fitness Center,Italian Restaurant,Grocery Store,Pizza Place,Pub,Spa,Convenience Store
